site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site8,delayed,0,360,0.6750572799628003,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.5064269369383825,0.4904473869110011,0.25833333333333336,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,1,360,0.49618336596333645,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.32755302293891897,0.31157347291153736,0.18333333333333332,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,2,360,0.8221495223820507,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.6535191793576329,0.6375396293302515,0.25833333333333336,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,3,360,0.8736010257773852,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.7049706827529675,0.6889911327255861,0.25833333333333336,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,4,360,0.3771421216615198,0.0,0,100.0,26.8936,0,1,0,0.8226001371742111,0.6468451119704355,0.1925322286097206,0.24444444444444444,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,5,360,0.45049467486506767,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.2818643318406501,0.26588478181326847,0.2388888888888889,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,6,360,0.818878552209952,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.6502482091855342,0.6342686591581528,0.25833333333333336,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,7,360,0.798589991333467,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.6299596483090494,0.6139800982816678,0.25833333333333336,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,8,360,0.7156460207790915,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.5470156777546737,0.5310361277272923,0.25833333333333336,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
site8,delayed,9,360,0.6401501033276191,0.0,0,100.0,26.8936,0,0,0,0.8226001371742111,0.4715197603032015,0.45554021027581987,0.25833333333333336,239.81864761904762,122.82105904761906,mpc,7,normal,main,0,0.3,0.9,360
