site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,delayed,0,360,0.6400458858338742,0.9094999999999995,1,99.7222,275.8745,0,1,0,0.700036537298751,0.4490800871887284,0.1454587787306918,0.31666666666666665,765.2942142857142,581.9921857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,1,360,0.8978558151376326,9.319,3,99.1667,267.46500000000003,0,1,0,0.700036537298751,0.5192078309007001,0.13177498131419918,0.3138888888888889,765.2942142857142,573.5826857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,2,360,0.38375680226035874,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.4212639110698152,0.1586823070633386,0.325,765.2942142857142,582.9016857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,3,360,0.5469648678219678,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.44947197663142413,0.16169390787947288,0.325,765.2942142857142,582.9016857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,4,360,0.307781120326638,40.717,12,96.6667,236.067,0,2,0,0.700036537298751,0.39201059021997775,0.1364715731790198,0.2722222222222222,765.2942142857142,542.1846857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,5,360,0.8102537803087884,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5377608891182447,0.19534778148502838,0.325,765.2942142857142,582.9016857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,6,360,0.4806350129551042,10.782499999999999,4,98.8889,266.0015,0,2,0,0.700036537298751,0.41779772669315113,0.13059407327007508,0.30833333333333335,765.2942142857142,572.1191857142858,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,7,360,0.46137535805531094,18.9925,6,98.3333,257.79150000000004,0,2,0,0.700036537298751,0.38623331310406683,0.13815922396395636,0.30277777777777776,765.2942142857142,563.9091857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,8,360,0.8075146127270791,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.533355054869869,0.19260861390331915,0.325,765.2942142857142,582.9016857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
site7,delayed,9,360,0.5264223036325569,32.962500000000006,10,97.2222,243.82150000000001,0,1,0,0.700036537298751,0.39288566738839265,0.13656302767359457,0.275,765.2942142857142,549.9391857142857,b1_lognormal,500,normal,sensitivity_lognormal,0,0.3,0.9,360
