site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,normal,0,360,0.6036184047290367,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.4801202385643901,0.1627527249373321,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,1,360,0.8009889783012054,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.5008241454698923,0.12120306757276908,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,2,360,0.8661195033663325,0.0,0,100.0,710.6301599999999,0,1,0,0.5744197124756335,0.5859546705350193,0.18633359263789614,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,3,360,0.3959946870025822,48.73428,12,96.6667,661.89588,0,2,0,0.5744197124756335,0.3838775161329292,0.10380138736417,0.29444444444444445,1705.3125714285716,1344.0209085714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,4,360,0.48760993963376853,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.46911177346912225,0.13518124168276602,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,5,360,0.8031388874217213,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.49630738792374146,0.12335297669328495,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,6,360,0.6829172001609267,14.975999999999999,2,99.4444,695.65416,0,2,0,0.5744197124756335,0.4367088199366046,0.12481383799379694,0.3277777777777778,1705.3125714285716,1377.7791885714287,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,7,360,0.8894447132780015,0.0,0,100.0,710.6301599999999,0,1,0,0.5744197124756335,0.5776132137800215,0.209658802549565,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,8,360,0.6891215516401548,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.4989567188088415,0.2214517618671621,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
site5,normal,9,360,0.813596290397157,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.5167647908991773,0.1338103796687207,0.3333333333333333,1705.3125714285716,1392.7551885714286,b1_lognormal,99,normal,sensitivity_lognormal,0,0.3,0.9,360
