site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,normal,0,360,0.7094111179488861,13.248,7,98.0556,263.536,0,2,0,0.700036537298751,0.3550202374388916,0.12987400104370408,0.3,765.2942142857142,569.6536857142858,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,1,360,0.7711518684233507,8.870000000000001,2,99.4444,267.914,0,2,0,0.700036537298751,0.3965860721379455,0.13193439472538307,0.3194444444444444,765.2942142857142,574.0316857142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,2,360,0.8110496901605238,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.4418901323033135,0.1961436913367637,0.325,765.2942142857142,582.9016857142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,3,360,0.30370564558119556,15.425,5,98.6111,261.359,0,3,0,0.700036537298751,0.2724575311954905,0.12902976503489746,0.3055555555555556,765.2942142857142,567.4766857142856,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,4,360,0.33747994064002396,34.149,13,96.3889,242.635,0,3,0,0.700036537298751,0.2552506324796777,0.12623335500322064,0.2722222222222222,765.2942142857142,548.7526857142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,5,360,0.6955075805601405,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.40718135603626343,0.197948833909157,0.325,765.2942142857142,582.9016857142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,6,360,0.5305898231297899,67.45230000000001,22,93.8889,209.3317,0,2,0,0.700036537298751,0.2699901137409263,0.1359602406949731,0.225,765.2942142857142,515.4493857142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,7,360,0.5719682377379023,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.3528086798806919,0.15775795217298014,0.325,765.2942142857142,582.9016857142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,8,360,0.6878781181479202,0.0,0,100.0,276.784,0,2,0,0.700036537298751,0.39955189362404314,0.1903193714969367,0.325,765.2942142857142,582.9016857142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
site7,normal,9,360,0.38556079466672327,74.66257000000002,22,93.8889,202.12142999999998,0,2,0,0.700036537298751,0.2531168360565742,0.13297917668332135,0.24722222222222223,765.2942142857142,508.2391157142857,b0,123,normal,phase3_b0,0,0.3,0.9,360
