site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,monsoon,0,360,0.7643736291335781,110.27068000000001,19,94.7222,600.3594800000001,0,2,0,0.5744197124756335,0.4573800381236255,0.06491387991435447,0.5527777777777778,1705.3125714285716,1282.4845085714287,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7428813914558996,0.5019578983121575,0.7027777777777777,1705.3125714285716,1392.7551885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,2,360,0.37353930580432293,124.9756,16,95.5556,585.65456,0,4,0,0.5744197124756335,0.31977107714055514,0.06805735522797991,0.5472222222222223,1705.3125714285716,1267.7795885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6020468946705236,0.3575370233312576,0.6777777777777778,1705.3125714285716,1392.7551885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5506977331828743,0.1136872625268296,0.6694444444444444,1705.3125714285716,1392.7551885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5765830306208899,0.12542673620393271,0.6722222222222223,1705.3125714285716,1392.7551885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.575788423873377,0.2495849832031485,0.6916666666666667,1705.3125714285716,1392.7551885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,7,360,0.5177125153656817,78.58280000000002,13,96.3889,632.04736,0,3,0,0.5744197124756335,0.40206408938611315,0.06549977122733264,0.5805555555555556,1705.3125714285716,1314.1723885714287,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,8,360,0.7724536151319743,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.622288782300661,0.3874940024237944,0.6861111111111111,1705.3125714285716,1392.7551885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
site5,monsoon,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,3,0,0.5744197124756335,0.48279988493093684,0.1856788070338137,0.6555555555555556,1705.3125714285716,1392.7551885714286,gamma_0.95,42,normal,gamma_sensitivity,400000,0.3,0.9,360
