site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site7,monsoon,0,360,0.6070929748201541,7.0725,3,99.1667,269.7115,0,1,0,0.700036537298751,0.4415674947036918,0.13264244224484203,0.3277777777777778,765.2942142857142,575.8291857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,1,360,0.45696728054958985,18.9925,6,98.3333,257.79150000000004,0,2,0,0.700036537298751,0.42849190226501244,0.13375114645823527,0.3194444444444444,765.2942142857142,563.9091857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,2,360,0.3513895002861746,26.4695,9,97.5,250.3145,0,2,0,0.700036537298751,0.38663274198896336,0.13352862333394283,0.3111111111111111,765.2942142857142,556.4321857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,3,360,0.8658336633434207,54.3828,16,95.5556,222.40120000000002,0,1,0,0.700036537298751,0.4178844600281667,0.1391748382764404,0.28055555555555556,765.2942142857142,528.5188857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,4,360,0.7830017542472282,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5005088630566845,0.1680957554234682,0.33611111111111114,765.2942142857142,582.9016857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,5,360,0.622898610883166,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5254057196926224,0.23762765094067098,0.33611111111111114,765.2942142857142,582.9016857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,6,360,0.6750572799628003,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5142310554389232,0.17749853331181678,0.33611111111111114,765.2942142857142,582.9016857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,7,360,0.49618336596333645,41.024300000000004,13,96.3889,235.7597,0,1,0,0.700036537298751,0.3720893970973915,0.13266467681741734,0.28888888888888886,765.2942142857142,541.8773857142858,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,8,360,0.8221495223820507,0.0,0,100.0,276.784,0,1,0,0.700036537298751,0.5663232978581738,0.20724352355829065,0.33611111111111114,765.2942142857142,582.9016857142857,mpc,1,normal,main,0,0.3,0.9,360
site7,monsoon,9,360,0.8736010257773852,50.512800000000006,15,95.8333,226.2712,0,1,0,0.700036537298751,0.4265616113924062,0.13429762121618802,0.2833333333333333,765.2942142857142,532.3888857142857,mpc,1,normal,main,0,0.3,0.9,360
