site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,delayed,0,360,0.7643736291335781,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5633754629689315,0.18919446671207174,0.6972222222222222,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7945480581225663,0.6115936468921096,0.6833333333333333,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,2,360,0.37353930580432293,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5992078063063431,0.17400857084217963,0.6944444444444444,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6512135613371902,0.3575370233312576,0.6888888888888889,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.737364399849541,0.46357665528575115,0.6916666666666667,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6399163639542235,0.24555046182339335,0.6916666666666667,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.6657884238733769,0.44071429578680305,0.6944444444444444,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,7,360,0.5177125153656817,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.6892143492010354,0.4379266046372455,0.6972222222222222,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,8,360,0.7724536151319743,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7614554489673275,0.5729228801698305,0.7027777777777777,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
site5,delayed,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,3,0,0.5744197124756335,0.5669665515976036,0.24581025718064628,0.6944444444444444,1705.3125714285716,1392.7551885714286,lam_low,42,normal,reward_sensitivity,400000,0.3,0.9,360
